OBJECTID,AA_ID,Survey,Name,Alternate,X,Y,Coordinate,attestations4Filter,attestations,Paleolithi,Neolithic,Early_Mid,Late_Chalc,Early_Bron,Middle_Bro,Late_Bronz,Iron_1,Iron_2,Iron_3,Achaemenid,Hellenisti,Roman_1,Roman_2,Roman_3,Byzantine,Abbasid,Middle_Byz,Armenian,Mamluk,Ottoman,Modern,Coordinate_1,Coordinate_2,Halaf,Uruk,Late_Chalc_1,EBA,MBA,LBA,Iron_Age,Roman,Late_Roman,Early_Isla,Middle_Isl,Early_Chal,Mid_Chalco,MBA_LBA,F1stMil_BCA,Medieval,Site_Area_Ha,Chalcolith,Second_Mil,First_Mill,Islamic,Neo,EB_I,EB_II,EB_III,F2ndMillenn,Iron,Site_No,Description,F1stHalfIA,F2ndIA,Other,Calcolithi,Early_Bron_1,Middle_Bro_1,Late_Bronz_1,First_Half,Second_Hal,PPN,LateUruk,IronAge,Archaic,Classical,Bibliography,Website,Site_Type,Paleo,Chalco,OldHittite,EarlyEmpir,LateEmpire,EarlyIron,MidIron,LateIron,Hellenisit,Early_Byz,Turkic,Lower_Pale,Mid_Paleo,PPNA,PPNB,EB,EBI,EBII,EBIII,MB,LB,IA,Early_Hell,Late_Hell,Early_Roma,Chalcoliti,EB_1,EB_2,EB3,EB_4,MB_1,MB_2,IRON_12,IRON_23,IRON_34,Helenisitc,Late_Antiq,Chalcolithic,Hellenistic,Hittite,Middle_IA,Late_Antique_Antik,Late_R,NE,Late_IA,F2nd_MIll,Early_IA,Filter,Data,New,News
1,AA0001,Bahar_Konya_Karaman_2000-2012,Ali Tepesi,,33.544473,37.711966,33.544473 37.711966,"LateChalcolithic,AssyrianTradeColony,IronAge,Hellenistic,MiddleBronzeAge,BronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""AssyrianTradeColony"",""2"":""IronAge"",""3"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, ATC, IA, Hel, MBA, BA, Chalc, Class",AnatolianAtlas2024,,"LateChalcolithic,AssyrianTradeColony,IronAge,Hellenistic,MiddleBronzeAge,BronzeAge,Chalcolithic"
2,AA0002,Bahar_Konya_Karaman_2000-2012,Akçapınar,,32.18339540200003,37.20765229400007,32.183395402 37.2076522940001,"Archaic,IronAge","{""0"":""Archaic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arch, IA",AnatolianAtlas2024,,"Archaic,IronAge"
3,AA0003,Bahar_Konya_Karaman_2000-2012,Harmanpınar Yuğ Tepesi,,32.15468120500003,37.23881392400006,32.154681205 37.2388139240001,"LateChalcolithic,NewEmpire,Hellenistic,LateBronzeAge,BronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""NewEmpire"",""2"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, NEmp, Hel, LBA, BA, Chalc, Class",AnatolianAtlas2024,,"LateChalcolithic,NewEmpire,Hellenistic,LateBronzeAge,BronzeAge,Chalcolithic"
4,AA0004,Bahar_Konya_Karaman_2000-2012,Büyük Höyük,,32.07632941400004,37.35746749200007,32.076329414 37.3574674920001,"LateBronzeAge,Ottoman,BronzeAge","{""0"":""LateBronzeAge"",""1"":""Ottoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LBA, Ott, BA",AnatolianAtlas2024,,"LateBronzeAge,Ottoman,BronzeAge"
5,AA0005,Bahar_Konya_Karaman_2000-2012,Kumluca Hüyük Tepesi,,31.98571751500003,37.38968786600003,31.985717515 37.389687866,"MiddleIronAge,Classical,Hellenistic,IronAge","{""0"":""MiddleIronAge"",""1"":""Classical"",""2"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MIA, Class, Hel, IA",AnatolianAtlas2024,,"MiddleIronAge,Classical,Hellenistic,IronAge"
6,AA0006,Bahar_Konya_Karaman_2000-2012,Bursal Kale,,33.59952532100004,37.90031453900008,33.599525321 37.9003145390001,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,
7,AA0007,Bahar_Konya_Karaman_2000-2012,Yağmapınar (Kıcıkışla) Höyük,,33.73282115600006,37.81530819400007,33.7328211560001 37.8153081940001,"EarlyBronzeAge,NewEmpire,Hellenistic,BronzeAge,LateBronzeAge","{""0"":""EarlyBronzeAge"",""1"":""NewEmpire"",""2"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, NEmp, Hel, BA, LBA, Class",AnatolianAtlas2024,,"EarlyBronzeAge,NewEmpire,Hellenistic,BronzeAge,LateBronzeAge"
8,AA0008,Bahar_Konya_Karaman_2000-2012,Tilkili Höyük,,33.72419306300003,37.84447984500008,33.724193063 37.8444798450001,"LateChalcolithic,EarlyBronzeAge,NewEmpire,Hellenistic,LateRoman,BronzeAge,LateBronzeAge,Chalcolithic,Roman,Classical","{""0"":""LateChalcolithic"",""1"":""EarlyBronzeAge"",""2"":""NewEmpire"",""3"":""Hellenistic"",""4"":""LateRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, EBA, NEmp, Hel, LRom, BA, LBA, Chalc, Class, Rom",AnatolianAtlas2024,,"LateChalcolithic,EarlyBronzeAge,NewEmpire,Hellenistic,LateRoman,BronzeAge,LateBronzeAge,Chalcolithic,Roman,Classical"
9,AA0009,Bahar_Konya_Karaman_2000-2012,Kazan Höyük,,33.77220901400005,37.63170243300004,33.772209014 37.631702433,"LateChalcolithic,EarlyBronzeAge,NewEmpire,BronzeAge,LateBronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""EarlyBronzeAge"",""2"":""NewEmpire""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, EBA, NEmp, BA, LBA, Chalc",AnatolianAtlas2024,,"LateChalcolithic,EarlyBronzeAge,NewEmpire,BronzeAge,LateBronzeAge,Chalcolithic"
10,AA0010,Bahar_Konya_Karaman_2000-2012,İslik Höyük,,33.32704703900004,37.53879064400007,33.327047039 37.5387906440001,"LateChalcolithic,MiddleBronzeAge,Hellenistic,LateRoman,BronzeAge,Chalcolithic,Roman,Classical","{""0"":""LateChalcolithic"",""1"":""MiddleBronzeAge"",""2"":""Hellenistic"",""3"":""LateRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, MBA, Hel, LRom, BA, Chalc, Class, Rom",AnatolianAtlas2024,,"LateChalcolithic,MiddleBronzeAge,Hellenistic,LateRoman,BronzeAge,Chalcolithic,Roman,Classical"
