OBJECTID,Survey,Name,Alternate,Coordinate,FilterAttestations,attestations,Paleolithi,Neolithic,Early-Mid ,Late Chalc,Early Bron,Middle Bro,Late Bronz,Iron 1,Iron 2,Iron 3,Achaemenid,Hellenisti,Roman 1,Roman 2,Roman 3,Byzantine,Abbasid,Middle Byz,Armenian,Mamluk,Ottoman,Modern,Coordinate_1,Coordinate_2,Halaf,Uruk,Late_Chalc,EBA,MBA,LBA,Iron_Age,Roman,Late_Roman,Early_Isla,Middle_Isl,Early_Chal,Mid_Chalco,MBA_LBA,1stMil_BCA,Medieval,Site_Area_Ha,Chalcolith,Second Mil,First Mill,Islamic,Neo,EB_I,EB_II,EB_III,2ndMillenn,Iron,Site_No,Description,F1stHalfIA,F2ndIA,Other,Calcolithi,Early_Bron,Middle_Bro,Late_Bronz,First_Half,Second_Hal,PPN,LateUruk,IronAge,Archaic,Classical,Bibliography,Website,Site_Type,Paleo,Chalco,OldHittite,EarlyEmpir,LateEmpire,EarlyIron,MidIron,LateIron,Hellenisit,Early_Byz,Turkic,Lower_Pale,Mid_Paleo,PPNA,PPNB,EB,EBI,EBII,EBIII,MB,LB,IA,Early_Hell,Late_Hell,Early_Roma,Chalcoliti,EB_1,EB_2,EB3,EB_4,MB_1,MB_2,IRON_1,IRON_2,IRON_3,Helenisitc,Late_Antiq,Chalcolithic,Hellenistic,Hittite,Middle IA,Late Antique/Antik,Late R,NE,Late IA,2nd MIll,Early IA,Filter,Data,New,News,x,y
1,Bahar_Konya_Karaman_2000-2012,Ali Tepesi,,033.54444863 37.71197143,"LateChalcolithic,AssyrianTradeColony,IronAge,Hellenistic,MiddleBronzeAge,BronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""AssyrianTradeColony"",""2"":""IronAge"",""3"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, ATC, IA, Hel, MBA, BA, Chalc, Class",AnatolianAtlas2024,,"LateChalcolithic,AssyrianTradeColony,IronAge,Hellenistic,MiddleBronzeAge,BronzeAge,Chalcolithic",33.5444486315027,37.7119714291076
2,Bahar_Konya_Karaman_2000-2012,Akçapinar,,032.18339540 37.20765229,"Archaic,IronAge",{""0"":""Archaic""},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arch, IA",AnatolianAtlas2024,,"Archaic,IronAge",32.1833954024561,37.2076522944697
3,Bahar_Konya_Karaman_2000-2012,Harmanpinar Yug Tepesi,,032.15468121 37.23881392,"LateChalcolithic,NewEmpire,Hellenistic,LateBronzeAge,BronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""NewEmpire"",""2"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, NEmp, Hel, LBA, BA, Chalc, Class",AnatolianAtlas2024,,"LateChalcolithic,NewEmpire,Hellenistic,LateBronzeAge,BronzeAge,Chalcolithic",32.1546812053535,37.2388139238293
4,Bahar_Konya_Karaman_2000-2012,Büyük Höyük,,032.07632941 37.35746749,"LateBronzeAge,Ottoman,BronzeAge","{""0"":""LateBronzeAge"",""1"":""Ottoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LBA, Ott, BA",AnatolianAtlas2024,,"LateBronzeAge,Ottoman,BronzeAge",32.0763294141457,37.3574674921327
5,Bahar_Konya_Karaman_2000-2012,Kumluca Hüyük Tepesi,,031.98571751 37.38968787,"MiddleIronAge,Classical,Hellenistic,IronAge","{""0"":""MiddleIronAge"",""1"":""Classical"",""2"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MIA, Class, Hel, IA",AnatolianAtlas2024,,"MiddleIronAge,Classical,Hellenistic,IronAge",31.9857175147548,37.3896878656592
6,Bahar_Konya_Karaman_2000-2012,Bursal Kale,,033.59952532 37.90031454,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,,33.5995253207357,37.9003145387806
7,Bahar_Konya_Karaman_2000-2012,Yagmapinar (Kicikisla) Höyük,,033.73282116 37.81530819,"EarlyBronzeAge,NewEmpire,Hellenistic,BronzeAge,LateBronzeAge","{""0"":""EarlyBronzeAge"",""1"":""NewEmpire"",""2"":""Hellenistic""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, NEmp, Hel, BA, LBA, Class",AnatolianAtlas2024,,"EarlyBronzeAge,NewEmpire,Hellenistic,BronzeAge,LateBronzeAge",33.7328211559417,37.8153081938946
8,Bahar_Konya_Karaman_2000-2012,Tilkili Höyük,,033.72419306 37.84447984,"LateChalcolithic,EarlyBronzeAge,NewEmpire,Hellenistic,LateRoman,BronzeAge,LateBronzeAge,Chalcolithic,Roman,Classical","{""0"":""LateChalcolithic"",""1"":""EarlyBronzeAge"",""2"":""NewEmpire"",""3"":""Hellenistic"",""4"":""LateRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, EBA, NEmp, Hel, LRom, BA, LBA, Chalc, Class, Rom",AnatolianAtlas2024,,"LateChalcolithic,EarlyBronzeAge,NewEmpire,Hellenistic,LateRoman,BronzeAge,LateBronzeAge,Chalcolithic,Roman,Classical",33.7241930631149,37.8444798445568
9,Bahar_Konya_Karaman_2000-2012,Kazan Höyük,,033.77220901 37.63170243,"LateChalcolithic,EarlyBronzeAge,NewEmpire,BronzeAge,LateBronzeAge,Chalcolithic","{""0"":""LateChalcolithic"",""1"":""EarlyBronzeAge"",""2"":""NewEmpire""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, EBA, NEmp, BA, LBA, Chalc",AnatolianAtlas2024,,"LateChalcolithic,EarlyBronzeAge,NewEmpire,BronzeAge,LateBronzeAge,Chalcolithic",33.7722090139777,37.6317024328382
10,Bahar_Konya_Karaman_2000-2012,Islik Höyük,,033.32704704 37.53879064,"LateChalcolithic,MiddleBronzeAge,Hellenistic,LateRoman,BronzeAge,Chalcolithic,Roman,Classical","{""0"":""LateChalcolithic"",""1"":""MiddleBronzeAge"",""2"":""Hellenistic"",""3"":""LateRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LChalc, MBA, Hel, LRom, BA, Chalc, Class, Rom",AnatolianAtlas2024,,"LateChalcolithic,MiddleBronzeAge,Hellenistic,LateRoman,BronzeAge,Chalcolithic,Roman,Classical",33.3270470387758,37.5387906439746
